timestamp,request_type,position,creative_type,kv_value
2022-03-11T02:07:53.715Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-11T01:59:34.402Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T01:57:22.905Z, static.video, static_iphone_320x480, video, mVp22
2022-03-11T01:52:47.156Z, static.video, static_iphone_320x480, static, mFSp136
2022-03-11T01:46:38.776Z, static.video, interstitial, video, mFSp31
2022-03-11T01:45:42.917Z, static.video, static_iphone_320x480, video, mVp25
2022-03-11T01:34:52.832Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T01:23:18.334Z, static.video, interstitial, video, mVp77
2022-03-11T01:19:31.490Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-11T01:15:20.717Z, static.video, interstitial, video, mVp4
2022-03-11T01:11:21.738Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T01:02:49.375Z, static.video, interstitial, video, mVp4
2022-03-11T00:59:50.715Z, static.video, static_iphone_320x480, static, mFSp136
2022-03-11T00:58:19.232Z, static.video, static_iphone_320x480, video, mVp17
2022-03-11T00:56:54.436Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T00:55:28.962Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T00:51:19.377Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T00:47:21.620Z, static.video, static_iphone_320x480, video, mFSp107
2022-03-11T00:43:20.303Z, static.video, static_iphone_320x480, video, mVp13
2022-03-11T00:42:48.270Z, static.video, static_iphone_320x480, video, mVp34
2022-03-11T00:37:05.088Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T00:35:54.071Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T00:32:59.853Z, static.video, static_iphone_320x480, video, mVp7
2022-03-11T00:17:55.942Z, static.video, static_iphone_320x480, video, mVp9
2022-03-11T00:16:25.013Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-11T00:15:28.749Z, static.video, static_iphone_320x480, video, mVp36
2022-03-11T00:10:25.694Z, static.video, static_iphone_320x480, video, mFSp30
2022-03-11T00:02:13.442Z, static.video, static_iphone_320x480, video, mFSp38
2022-03-10T23:49:26.507Z, static.video, static_iphone_320x480, video, mFSp75
2022-03-10T23:35:15.438Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-10T23:33:26.322Z, static.video, interstitial, video, mVp4
2022-03-10T23:32:29.770Z, static.video, static_iphone_320x480, video, mFSp28
2022-03-10T23:06:58.772Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-10T23:00:27.779Z, static.video, static_iphone_320x480, video, mVp22
2022-03-10T22:57:41.358Z, static.video, static_iphone_320x480, video, mVp4
2022-03-10T22:47:32.073Z, static.video, static_iphone_320x480, video, mFSp27
2022-03-10T22:44:13.591Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-10T22:40:44.498Z, static.video, static_iphone_320x480, video, mVp5
2022-03-10T22:37:37.144Z, static.video, static_iphone_320x480, video, mVp9
2022-03-10T22:19:42.460Z, static.video, interstitial, video, mVp6
2022-03-10T22:16:43.169Z, static.video, interstitial, static, mFSp41
2022-03-10T22:16:40.039Z, static.video, static_iphone_320x480, static, mFSp122
2022-03-10T22:14:24.789Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-10T21:54:46.339Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-10T21:52:33.924Z, static.video, static_iphone_320x480, static, mFSp25
2022-03-10T21:49:35.750Z, static.video, interstitial, video, mFSp48
2022-03-10T21:41:19.283Z, static.video, interstitial, video, mFSp20
2022-03-10T21:38:27.091Z, static.video, static_iphone_320x480, video, mVp5
2022-03-10T21:37:08.283Z, static.video, static_iphone_320x480, video, mFSp22
2022-03-10T21:30:23.132Z, static.video, interstitial, static, mFSp39
2022-03-10T21:24:03.473Z, static.video, static_iphone_320x480, video, mVp5
2022-03-10T21:22:26.860Z, static.video, static_iphone_320x480, video, mVp4
2022-03-10T21:16:00.784Z, static.video, static_iphone_320x480, video, mVp9
2022-03-10T20:56:48.938Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-10T20:49:02.803Z, static.video, static_iphone_320x480, video, mVp32
2022-03-10T20:45:09.417Z, static.video, static_iphone_320x480, video, mVp11
2022-03-10T20:32:11.649Z, static.video, static_iphone_320x480, video, mVp12
2022-03-10T20:26:49.763Z, static.video, interstitial, video, mFSp20
2022-03-10T20:15:42.819Z, static.video, interstitial, video, mVp4
2022-03-10T20:13:04.454Z, static.video, interstitial, video, mFSp24
2022-03-10T20:11:34.801Z, static.video, static_iphone_320x480, video, mFSp23
2022-03-10T19:44:29.742Z, static.video, static_iphone_320x480, video, mFSp27
2022-03-10T19:33:57.914Z, static.video, static_iphone_320x480, static, mFSp33
2022-03-10T19:33:50.084Z, static.video, static_iphone_320x480, video, mFSp24
2022-03-10T19:33:24.596Z, static.video, static_iphone_320x480, video, mVp4
2022-03-10T19:10:18.367Z, static.video, static_iphone_320x480, video, mVp35
2022-03-10T18:58:21.394Z, static.video, interstitial, static, mFSp51
2022-03-10T18:56:09.970Z, static.video, static_iphone_320x480, video, mVp9
2022-03-10T18:51:24.193Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-10T18:39:41.611Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-10T18:37:45.178Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-08T04:56:22.290Z, static.video, static_iphone_320x480, video, mVp15
2022-03-08T04:46:50.644Z, static.video, static_iphone_320x480, video, mVp15
2022-03-08T04:46:49.802Z, static.video, static_iphone_320x480, video, mVp14
2022-03-08T04:40:18.864Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T04:36:37.249Z, static.video, static_iphone_320x480, static, mFSp122
2022-03-08T04:36:35.324Z, static.video, static_iphone_320x480, video, mFSp36
2022-03-08T04:30:54.051Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T04:24:00.998Z, static.video, interstitial, static, mFSp36
2022-03-08T04:23:00.455Z, static.video, static_iphone_320x480, static, mFSp59
2022-03-08T04:21:34.439Z, static.video, static_iphone_320x480, static, mFSp23
2022-03-08T04:19:44.631Z, static.video, interstitial, video, mVp4
2022-03-08T04:18:31.292Z, static.video, static_iphone_320x480, video, mVp13
2022-03-08T04:18:00.549Z, static.video, static_iphone_320x480, video, mFSp33
2022-03-08T04:11:33.486Z, static.video, static_iphone_320x480, video, mFSp35
2022-03-08T04:04:07.203Z, static.video, interstitial, static, mFSp43
2022-03-08T04:01:39.075Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T03:57:29.436Z, static.video, static_iphone_320x480, video, mFSp21
2022-03-08T03:52:21.260Z, static.video, static_iphone_320x480, video, mFSp41
2022-03-08T03:52:20.788Z, static.video, static_iphone_320x480, static, mFSp20
2022-03-08T03:50:47.896Z, static.video, static_iphone_320x480, video, mVp10
2022-03-08T03:50:45.478Z, static.video, static_iphone_320x480, video, mFSp134
2022-03-08T03:44:46.060Z, static.video, static_iphone_320x480, video, mVp26
2022-03-08T03:43:55.819Z, static.video, static_iphone_320x480, video, mVp26
2022-03-08T03:42:21.054Z, static.video, static_iphone_320x480, static, mFSp24
2022-03-08T03:40:55.463Z, static.video, static_iphone_320x480, video, mFSp28
2022-03-08T03:38:53.550Z, static.video, static_iphone_320x480, video, mVp11
2022-03-08T03:38:47.310Z, static.video, static_iphone_320x480, video, mVp8
2022-03-08T03:35:57.636Z, static.video, static_iphone_320x480, video, mVp25
2022-03-08T03:34:20.404Z, static.video, static_iphone_320x480, video, mVp15
2022-03-08T03:31:41.563Z, static.video, static_iphone_320x480, video, mVp5
2022-03-08T03:29:12.102Z, static.video, static_iphone_320x480, video, mVp21
2022-03-08T03:28:54.782Z, static.video, static_iphone_320x480, video, mFSp55
2022-03-08T03:28:31.701Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T03:22:27.464Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T03:19:19.000Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T03:17:39.849Z, static.video, static_iphone_320x480, video, mVp7
2022-03-08T03:17:04.714Z, static.video, static_iphone_320x480, video, mVp4
2022-03-08T03:17:04.657Z, static.video, interstitial, video, mFSp30
2022-03-08T03:14:55.959Z, static.video, interstitial, video, mVp12
2022-03-08T03:09:01.035Z, static.video, interstitial, static, mFSp45
2022-03-08T03:08:24.106Z, static.video, static_iphone_320x480, video, mFSp20
2022-03-08T03:01:41.590Z, static.video, interstitial, video, mVp21
2022-03-08T03:00:57.410Z, static.video, static_iphone_320x480, static, mFSp35
2022-03-08T02:59:23.547Z, static.video, static_iphone_320x480, video, mVp6
2022-03-08T02:53:07.259Z, static.video, static_iphone_320x480, video, mFSp36
2022-03-08T02:53:06.001Z, static.video, static_iphone_320x480, video, mFSp22
